sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
29939746909,2020-12-04T10:18:30Z,89,23,21,45,120,56,0.12532637075718014
29923709814,2020-12-03T11:47:30Z,85,22,22,41,93,58,0.11778563015312132
29912020406,2020-12-02T10:06:00Z,90,25,21,44,172,59,0.12241992882562278
29903132593,2020-12-01T10:05:00Z,83,21,22,40,62,61,0.0851063829787234
29888493443,2020-11-30T07:53:30Z,80,21,21,38,76,62,0.11690363349131122
29874654190,2020-11-29T07:45:30Z,82,19,19,44,73,61,0.10306406685236769
29864412952,2020-11-28T09:39:30Z,80,21,22,37,66,61,0.09104704097116843
29850944101,2020-11-27T11:53:00Z,89,22,21,46,92,61,0.10957551826258638
29840353960,2020-11-26T10:00:00Z,79,21,21,37,81,61,0.11464968152866242
29829984210,2020-11-25T11:47:00Z,83,22,18,43,93,59,0.15945330296127563
29813999881,2020-11-24T09:01:30Z,90,21,23,46,67,60,0.0734229576008273
29802341783,2020-11-23T09:07:30Z,85,21,21,43,79,60,0.10846245530393325
29790486885,2020-11-22T09:23:30Z,89,24,20,45,134,59,0.11274934952298352
29775320708,2020-11-21T04:40:00Z,76,20,21,35,70,61,0.09969788519637462
29765793020,2020-11-20T07:45:30Z,82,21,22,39,75,61,0.058186738836265225
29739622579,2020-11-18T07:46:30Z,85,23,16,46,109,58,0.09872340425531916
29739622578,2020-11-17T09:15:00Z,81,21,22,38,63,58,0.0846262341325811
29739622577,2020-11-16T07:45:30Z,74,20,19,35,88,57,0.10474631751227496
29739622576,2020-11-15T12:17:00Z,87,25,17,45,159,56,0.11551844119693806
29739622575,2020-11-14T06:25:30Z,63,21,14,28,79,55,0.1476407914764079
29739622574,2020-11-13T13:15:30Z,74,21,20,33,56,55,0.14173228346456693
29661593020,2020-11-12T07:45:30Z,78,19,22,37,65,58,0.1043872919818457
29661593019,2020-11-11T08:37:30Z,90,22,22,46,103,58,0.11288805268109126
29661593018,2020-11-10T13:02:30Z,81,21,21,39,56,58,0.11327649208282582
29661593017,2020-11-09T09:10:30Z,82,21,20,41,76,58,0.1205098493626883
29661593016,2020-11-08T12:56:00Z,75,20,18,37,65,58,0.13333333333333333
29597527404,2020-11-07T12:44:00Z,84,23,19,42,117,59,0.1354996934396076
29584073032,2020-11-06T13:30:00Z,63,20,16,27,31,57,0.10024449877750612
29567750480,2020-11-05T10:57:00Z,88,21,21,46,65,57,0.1353305785123967
29544427532,2020-11-03T09:10:30Z,84,22,20,42,90,57,0.12331838565022421
29544427531,2020-11-02T12:20:00Z,88,22,20,46,92,56,0.15160955347871236
29521209624,2020-11-01T10:36:00Z,87,21,20,46,74,56,0.10116731517509728
29505495469,2020-10-31T10:37:00Z,80,21,21,38,65,56,0.12191780821917808
29491951921,2020-10-30T08:54:30Z,88,23,21,44,117,56,0.11019055509527755
29477575031,2020-10-29T11:31:00Z,84,21,20,43,55,56,0.13112745098039216
29460785680,2020-10-28T09:49:00Z,89,23,22,44,118,57,0.13275726630007856
29445973291,2020-10-27T12:30:00Z,82,21,21,40,49,57,0.10755441741357234
29430564075,2020-10-26T08:59:00Z,86,22,21,43,88,57,0.11211778029445074
29419282274,2020-10-25T12:31:00Z,90,23,21,46,108,58,0.11322463768115942
29405833516,2020-10-24T13:15:30Z,77,21,20,36,50,58,0.14167812929848694
29393524239,2020-10-23T10:36:00Z,82,21,20,41,79,56,0.11437565582371459
29381220091,2020-10-22T08:48:30Z,81,21,21,39,68,56,0.09339975093399751
29366626020,2020-10-21T09:13:30Z,85,22,17,46,92,54,0.12213039485766758
29355869635,2020-10-20T11:34:30Z,81,21,22,38,69,56,0.11235955056179775
29329553939,2020-10-18T11:03:30Z,90,23,21,46,112,55,0.10208126858275521
29315438132,2020-10-17T08:58:00Z,86,22,22,42,96,56,0.1259351620947631
29301997732,2020-10-16T07:55:30Z,81,20,20,41,85,56,0.15593220338983052
29290724092,2020-10-15T12:54:00Z,80,22,19,39,84,55,0.13121019108280255
29290724091,2020-10-14T12:37:30Z,84,22,20,42,88,55,0.14255091103965703
29263306569,2020-10-13T07:48:30Z,84,21,23,40,74,54,0.08031088082901554
29250496772,2020-10-12T11:05:00Z,88,21,21,46,80,54,0.12295081967213115
29234528564,2020-10-11T11:43:00Z,87,22,19,46,94,54,0.14173998044965788
29222681362,2020-10-10T11:25:00Z,77,21,18,38,60,53,0.12846715328467154
29210701930,2020-10-09T13:23:30Z,87,22,20,45,89,54,0.13403736799350122
29197028674,2020-10-08T09:26:30Z,65,18,19,28,64,53,0.1680960548885077
29182020007,2020-10-07T12:30:00Z,84,20,20,44,97,53,0.12187958883994127
29165327138,2020-10-06T09:28:30Z,72,20,23,29,37,53,0.0728476821192053
29150345369,2020-10-05T10:13:00Z,84,21,21,42,81,53,0.13422007255139057
29137340899,2020-10-04T11:11:00Z,85,21,22,42,77,53,0.09888751545117429
29125678576,2020-10-03T12:07:00Z,90,23,21,46,117,53,0.11384615384615385
29112307607,2020-10-02T11:37:00Z,89,22,21,46,103,53,0.1275465013286094
29100400090,2020-10-01T09:59:30Z,79,20,21,38,70,53,0.07835325365205843
29089990890,2020-09-30T11:47:00Z,89,21,23,45,82,54,0.08186528497409326
29073823685,2020-09-29T14:11:30Z,89,21,22,46,73,54,0.10834990059642147
29058810239,2020-09-28T13:43:00Z,89,22,21,46,123,54,0.11940298507462686
29045693424,2020-09-27T13:22:00Z,81,21,23,37,47,54,0.055020632737276476
29035992619,2020-09-26T12:00:00Z,88,23,20,45,115,54,0.08745247148288973
29022429831,2020-09-25T11:56:30Z,79,21,22,36,70,54,0.10973724884080371
29010353731,2020-09-24T08:34:30Z,71,20,18,33,57,53,0.15456238361266295
28999154470,2020-09-23T11:06:30Z,65,16,23,26,42,53,0.06516290726817042
28989424288,2020-09-22T15:25:30Z,86,22,18,46,105,52,0.16110581506196378
28966358836,2020-09-21T07:48:30Z,91,22,22,47,88,54,0.08172043010752689
28956210310,2020-09-20T14:27:00Z,65,17,17,31,36,52,0.14792899408284024
28942978934,2020-09-19T14:01:30Z,91,23,22,46,123,54,0.09345794392523364
28932028680,2020-09-18T14:44:30Z,81,21,22,38,65,54,0.08421052631578947
28915974338,2020-09-17T11:38:30Z,77,20,21,36,35,54,0.10823909531502424
28901794646,2020-09-16T12:18:00Z,90,23,21,46,108,54,0.11100196463654224
28889056190,2020-09-15T12:04:30Z,83,21,22,40,76,54,0.08735332464146023
