Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2023-04-01T13:00:00,2291,1,Distracted (offline),General Business,-2
2023-04-01T14:00:00,775,1,Google Documents,Writing,2
2023-04-01T14:00:00,492,1,Distracted (offline),General Business,-2
2023-04-01T14:00:00,483,1,Firefox,Browsers,0
2023-04-01T14:00:00,443,1,qbreader.org,General Reference & Learning,2
2023-04-01T14:00:00,363,1,en.wikipedia.org,General Reference & Learning,2
2023-04-01T14:00:00,169,1,moma.org,General Entertainment,-2
2023-04-01T14:00:00,65,1,slate.com,General News & Opinion,-2
2023-04-01T14:00:00,31,1,drive.google.com,General Business,2
2023-04-01T14:00:00,21,1,latimes.com,General News & Opinion,-2
2023-04-01T14:00:00,11,1,about:home,Search,1
2023-04-01T14:00:00,6,1,about:newtab,Browsers,0
2023-04-01T14:00:00,5,1,javatpoint.com,Engineering & Technology,2
2023-04-01T14:00:00,2,1,Blank Web Browser,Browsers,0
2023-04-01T14:00:00,1,1,RescueTime,Intelligence,2
2023-04-01T14:00:00,1,1,guide.berkeley.edu,General Reference & Learning,2
2023-04-01T14:00:00,1,1,merki.net,Uncategorized,0
2023-04-01T15:00:00,3,1,Firefox,Browsers,0
2023-04-01T19:00:00,104,1,Firefox,Browsers,0
2023-04-01T19:00:00,53,1,en.wikipedia.org,General Reference & Learning,2
2023-04-01T19:00:00,5,1,Google Documents,Writing,2
2023-04-01T19:00:00,2,1,qbreader.org,General Reference & Learning,2
2023-04-01T19:00:00,1,1,RescueTime,Intelligence,2
2023-04-02T16:00:00,8,1,RescueTime,Intelligence,2
2023-04-02T16:00:00,7,1,Firefox,Browsers,0
2023-04-03T14:00:00,1635,1,Distracted (offline),General Business,-2
2023-04-03T14:00:00,312,1,Firefox,Browsers,0
2023-04-03T14:00:00,235,1,users,General Software Development,2
2023-04-03T14:00:00,129,1,Blank Web Browser,Browsers,0
2023-04-03T14:00:00,59,1,inst.eecs.berkeley.edu,Administration,2
2023-04-03T14:00:00,47,1,rescuetime.com,Computer,1
