Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2018-09-18T11:00:00,574,1,iOS Device,Very Distracting,-1
2018-09-18T13:00:00,142,1,iOS Device,Very Distracting,-1
2018-09-18T14:00:00,1389,1,iOS Device,Very Distracting,-1
2018-09-18T15:00:00,664,1,iOS Device,Very Distracting,-1
2018-09-18T17:00:00,17,1,iOS Device,Very Distracting,-1
2018-09-18T19:00:00,490,1,iOS Device,Very Distracting,-1
2018-09-18T20:00:00,836,1,iOS Device,Very Distracting,-1
2018-09-18T21:00:00,43,1,iOS Device,Very Distracting,-1
2018-09-18T23:00:00,197,1,iOS Device,Very Distracting,-1
2018-09-19T07:00:00,102,1,iOS Device,Very Distracting,-1
2018-09-19T08:00:00,78,1,iOS Device,Very Distracting,-1
2018-09-19T10:00:00,205,1,iOS Device,Very Distracting,-1
2018-09-19T11:00:00,3158,1,iOS Device,Very Distracting,-1
2018-09-19T12:00:00,1049,1,iOS Device,Very Distracting,-1
2018-09-19T13:00:00,2633,1,iOS Device,Very Distracting,-1
2018-09-19T14:00:00,1218,1,iOS Device,Very Distracting,-1
2018-09-19T15:00:00,1548,1,iOS Device,Very Distracting,-1
2018-09-19T17:00:00,2512,1,iOS Device,Very Distracting,-1
2018-09-19T18:00:00,2407,1,iOS Device,Very Distracting,-1
2018-09-20T19:00:00,153,1,iOS Device,Very Distracting,-1
2018-09-20T20:00:00,2303,1,iOS Device,Very Distracting,-1
2018-09-20T22:00:00,1327,1,iOS Device,Very Distracting,-1
2018-10-09T02:00:00,106,1,iOS Device,Very Distracting,-1
2018-10-09T06:00:00,33,1,iOS Device,Very Distracting,-1
2018-10-09T11:00:00,652,1,iOS Device,Very Distracting,-1
2018-10-09T12:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-09T13:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-09T14:00:00,2510,1,iOS Device,Very Distracting,-1
2018-10-09T15:00:00,1974,1,iOS Device,Very Distracting,-1
2018-10-09T16:00:00,786,1,iOS Device,Very Distracting,-1
2018-10-09T17:00:00,2151,1,iOS Device,Very Distracting,-1
2018-10-16T15:00:00,4,1,iOS Device,Very Distracting,-1
2018-10-16T23:00:00,44,1,iOS Device,Very Distracting,-1
2018-10-17T00:00:00,106,1,iOS Device,Very Distracting,-1
2018-10-17T09:00:00,615,1,iOS Device,Very Distracting,-1
2018-10-17T10:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-17T11:00:00,3511,1,iOS Device,Very Distracting,-1
2018-10-17T12:00:00,1255,1,iOS Device,Very Distracting,-1
2018-10-17T13:00:00,3572,1,iOS Device,Very Distracting,-1
2018-10-17T14:00:00,3451,1,iOS Device,Very Distracting,-1
2018-10-17T15:00:00,1641,1,iOS Device,Very Distracting,-1
2018-10-17T16:00:00,98,1,iOS Device,Very Distracting,-1
2018-10-17T17:00:00,2399,1,iOS Device,Very Distracting,-1
2018-10-17T18:00:00,51,1,iOS Device,Very Distracting,-1
2018-10-17T19:00:00,2238,1,iOS Device,Very Distracting,-1
2018-10-17T20:00:00,882,1,iOS Device,Very Distracting,-1
2018-10-17T21:00:00,77,1,iOS Device,Very Distracting,-1
2018-10-17T23:00:00,17,1,iOS Device,Very Distracting,-1
2018-10-18T00:00:00,1720,1,iOS Device,Very Distracting,-1
2018-10-18T09:00:00,1388,1,iOS Device,Very Distracting,-1
2018-10-18T11:00:00,3210,1,iOS Device,Very Distracting,-1
2018-10-18T12:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-18T13:00:00,3600,1,iOS Device,Very Distracting,-1
2018-10-18T14:00:00,3373,1,iOS Device,Very Distracting,-1
2018-10-18T17:00:00,391,1,iOS Device,Very Distracting,-1
2018-10-18T19:00:00,765,1,iOS Device,Very Distracting,-1
2018-10-18T20:00:00,1211,1,iOS Device,Very Distracting,-1
2018-10-18T21:00:00,3600,1,iOS Device,Very Distracting,-1
