Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2020-01-19T21:00:00,8,1,iOS Device,Very Distracting,-1
2020-01-19T23:00:00,1,1,iOS Device,Very Distracting,-1
2020-01-20T00:00:00,341,1,iOS Device,Very Distracting,-1
2020-01-20T02:00:00,13,1,iOS Device,Very Distracting,-1
2020-01-20T09:00:00,10,1,iOS Device,Very Distracting,-1
2020-01-20T10:00:00,932,1,iOS Device,Very Distracting,-1
2020-01-20T11:00:00,748,1,iOS Device,Very Distracting,-1
2020-01-20T12:00:00,3148,1,iOS Device,Very Distracting,-1
2020-01-20T13:00:00,3467,1,iOS Device,Very Distracting,-1
2020-01-20T14:00:00,508,1,iOS Device,Very Distracting,-1
2020-01-20T15:00:00,2370,1,iOS Device,Very Distracting,-1
2020-01-20T16:00:00,786,1,iOS Device,Very Distracting,-1
2020-01-20T17:00:00,7101,1,iOS Device,Very Distracting,-1
2020-01-20T18:00:00,2388,1,iOS Device,Very Distracting,-1
2020-01-20T19:00:00,3600,1,iOS Device,Very Distracting,-1
2020-01-20T20:00:00,2822,1,iOS Device,Very Distracting,-1
2020-01-20T21:00:00,2421,1,iOS Device,Very Distracting,-1
2020-01-20T22:00:00,3599,1,iOS Device,Very Distracting,-1
2020-01-20T23:00:00,383,1,iOS Device,Very Distracting,-1
2020-01-21T00:00:00,87,1,iOS Device,Very Distracting,-1
2020-01-21T01:00:00,11,1,iOS Device,Very Distracting,-1
2020-01-21T08:00:00,23,1,iOS Device,Very Distracting,-1
2020-01-21T09:00:00,2478,1,iOS Device,Very Distracting,-1
2020-01-21T10:00:00,3600,1,iOS Device,Very Distracting,-1
2020-01-21T11:00:00,3156,1,iOS Device,Very Distracting,-1
2020-01-21T12:00:00,2814,1,iOS Device,Very Distracting,-1
2020-01-21T13:00:00,3542,1,iOS Device,Very Distracting,-1
2020-01-21T14:00:00,2598,1,iOS Device,Very Distracting,-1
2020-01-21T15:00:00,3100,1,iOS Device,Very Distracting,-1
2020-01-21T16:00:00,198,1,iOS Device,Very Distracting,-1
2020-01-21T17:00:00,579,1,iOS Device,Very Distracting,-1
2020-01-21T18:00:00,866,1,iOS Device,Very Distracting,-1
2020-01-21T19:00:00,1186,1,iOS Device,Very Distracting,-1
2020-01-21T20:00:00,2452,1,iOS Device,Very Distracting,-1
2020-01-21T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-01-21T22:00:00,3139,1,iOS Device,Very Distracting,-1
