Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2020-10-01T00:00:00,2062,1,iOS Device,Very Distracting,-1
2020-10-01T01:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-01T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-01T03:00:00,1633,1,iOS Device,Very Distracting,-1
2020-10-01T10:00:00,979,1,iOS Device,Very Distracting,-1
2020-10-01T11:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-01T12:00:00,3580,1,iOS Device,Very Distracting,-1
2020-10-01T13:00:00,3398,1,iOS Device,Very Distracting,-1
2020-10-01T14:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-01T15:00:00,3514,1,iOS Device,Very Distracting,-1
2020-10-01T16:00:00,1984,1,iOS Device,Very Distracting,-1
2020-10-01T17:00:00,1268,1,iOS Device,Very Distracting,-1
2020-10-01T18:00:00,3460,1,iOS Device,Very Distracting,-1
2020-10-01T19:00:00,2613,1,iOS Device,Very Distracting,-1
2020-10-01T20:00:00,1289,1,iOS Device,Very Distracting,-1
2020-10-01T21:00:00,3198,1,iOS Device,Very Distracting,-1
2020-10-01T22:00:00,3576,1,iOS Device,Very Distracting,-1
2020-10-01T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-02T00:00:00,3095,1,iOS Device,Very Distracting,-1
2020-10-02T01:00:00,1394,1,iOS Device,Very Distracting,-1
2020-10-02T11:00:00,1409,1,iOS Device,Very Distracting,-1
2020-10-02T12:00:00,3336,1,iOS Device,Very Distracting,-1
2020-10-02T13:00:00,838,1,iOS Device,Very Distracting,-1
2020-10-02T14:00:00,1076,1,iOS Device,Very Distracting,-1
2020-10-02T15:00:00,2194,1,iOS Device,Very Distracting,-1
2020-10-02T16:00:00,1271,1,iOS Device,Very Distracting,-1
2020-10-02T17:00:00,1017,1,iOS Device,Very Distracting,-1
2020-10-02T18:00:00,247,1,iOS Device,Very Distracting,-1
2020-10-02T19:00:00,1410,1,iOS Device,Very Distracting,-1
2020-10-02T20:00:00,630,1,iOS Device,Very Distracting,-1
2020-10-02T21:00:00,558,1,iOS Device,Very Distracting,-1
2020-10-02T22:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-02T23:00:00,1702,1,iOS Device,Very Distracting,-1
2020-10-03T00:00:00,3510,1,iOS Device,Very Distracting,-1
2020-10-03T01:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-03T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-03T03:00:00,3066,1,iOS Device,Very Distracting,-1
2020-10-03T12:00:00,2887,1,iOS Device,Very Distracting,-1
2020-10-03T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-03T14:00:00,260,1,iOS Device,Very Distracting,-1
2020-10-03T15:00:00,1448,1,iOS Device,Very Distracting,-1
2020-10-03T16:00:00,1063,1,iOS Device,Very Distracting,-1
2020-10-03T18:00:00,1649,1,iOS Device,Very Distracting,-1
2020-10-03T19:00:00,3111,1,iOS Device,Very Distracting,-1
2020-10-03T20:00:00,3178,1,iOS Device,Very Distracting,-1
2020-10-03T21:00:00,2500,1,iOS Device,Very Distracting,-1
2020-10-03T22:00:00,1419,1,iOS Device,Very Distracting,-1
2020-10-03T23:00:00,566,1,iOS Device,Very Distracting,-1
2020-10-04T01:00:00,1885,1,iOS Device,Very Distracting,-1
2020-10-04T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-04T03:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-04T04:00:00,1286,1,iOS Device,Very Distracting,-1
2020-10-04T11:00:00,2297,1,iOS Device,Very Distracting,-1
2020-10-04T12:00:00,2515,1,iOS Device,Very Distracting,-1
2020-10-04T13:00:00,1547,1,iOS Device,Very Distracting,-1
2020-10-04T14:00:00,276,1,iOS Device,Very Distracting,-1
2020-10-04T15:00:00,3349,1,iOS Device,Very Distracting,-1
2020-10-04T16:00:00,3370,1,iOS Device,Very Distracting,-1
2020-10-04T17:00:00,3575,1,iOS Device,Very Distracting,-1
2020-10-04T18:00:00,2916,1,iOS Device,Very Distracting,-1
2020-10-04T19:00:00,2728,1,iOS Device,Very Distracting,-1
2020-10-04T20:00:00,2374,1,iOS Device,Very Distracting,-1
2020-10-04T21:00:00,2233,1,iOS Device,Very Distracting,-1
2020-10-05T03:00:00,136,1,iOS Device,Very Distracting,-1
2020-10-05T10:00:00,417,1,iOS Device,Very Distracting,-1
2020-10-05T11:00:00,3051,1,iOS Device,Very Distracting,-1
2020-10-05T12:00:00,3562,1,iOS Device,Very Distracting,-1
2020-10-05T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-05T14:00:00,1345,1,iOS Device,Very Distracting,-1
2020-10-05T16:00:00,79,1,iOS Device,Very Distracting,-1
2020-10-05T18:00:00,1683,1,iOS Device,Very Distracting,-1
2020-10-05T19:00:00,1266,1,iOS Device,Very Distracting,-1
2020-10-05T20:00:00,717,1,iOS Device,Very Distracting,-1
2020-10-05T21:00:00,3470,1,iOS Device,Very Distracting,-1
2020-10-05T22:00:00,1511,1,iOS Device,Very Distracting,-1
2020-10-06T00:00:00,3080,1,iOS Device,Very Distracting,-1
2020-10-06T01:00:00,3428,1,iOS Device,Very Distracting,-1
2020-10-06T12:00:00,41,1,iOS Device,Very Distracting,-1
2020-10-06T13:00:00,177,1,iOS Device,Very Distracting,-1
2020-10-06T14:00:00,1757,1,iOS Device,Very Distracting,-1
2020-10-06T15:00:00,2755,1,iOS Device,Very Distracting,-1
2020-10-06T16:00:00,509,1,iOS Device,Very Distracting,-1
2020-10-06T17:00:00,1083,1,iOS Device,Very Distracting,-1
2020-10-06T18:00:00,3587,1,iOS Device,Very Distracting,-1
2020-10-06T19:00:00,3495,1,iOS Device,Very Distracting,-1
2020-10-06T20:00:00,2004,1,iOS Device,Very Distracting,-1
2020-10-06T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-06T22:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-06T23:00:00,3513,1,iOS Device,Very Distracting,-1
2020-10-07T00:00:00,166,1,iOS Device,Very Distracting,-1
2020-10-07T12:00:00,470,1,iOS Device,Very Distracting,-1
2020-10-07T13:00:00,3063,1,iOS Device,Very Distracting,-1
2020-10-07T14:00:00,2140,1,iOS Device,Very Distracting,-1
2020-10-07T15:00:00,2429,1,iOS Device,Very Distracting,-1
2020-10-07T16:00:00,2129,1,iOS Device,Very Distracting,-1
2020-10-07T17:00:00,2884,1,iOS Device,Very Distracting,-1
2020-10-07T18:00:00,745,1,iOS Device,Very Distracting,-1
2020-10-07T19:00:00,2133,1,iOS Device,Very Distracting,-1
2020-10-07T20:00:00,3499,1,iOS Device,Very Distracting,-1
2020-10-07T21:00:00,1553,1,iOS Device,Very Distracting,-1
2020-10-07T22:00:00,3475,1,iOS Device,Very Distracting,-1
2020-10-07T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-08T00:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-08T01:00:00,938,1,iOS Device,Very Distracting,-1
2020-10-08T02:00:00,83,1,iOS Device,Very Distracting,-1
2020-10-08T04:00:00,489,1,iOS Device,Very Distracting,-1
2020-10-08T09:00:00,39,1,iOS Device,Very Distracting,-1
2020-10-08T11:00:00,1738,1,iOS Device,Very Distracting,-1
2020-10-08T16:00:00,1781,1,iOS Device,Very Distracting,-1
2020-10-08T17:00:00,856,1,iOS Device,Very Distracting,-1
2020-10-08T18:00:00,3437,1,iOS Device,Very Distracting,-1
2020-10-08T19:00:00,2880,1,iOS Device,Very Distracting,-1
2020-10-08T20:00:00,2986,1,iOS Device,Very Distracting,-1
2020-10-08T21:00:00,3199,1,iOS Device,Very Distracting,-1
2020-10-08T22:00:00,61,1,iOS Device,Very Distracting,-1
2020-10-09T13:00:00,2087,1,iOS Device,Very Distracting,-1
2020-10-09T14:00:00,3085,1,iOS Device,Very Distracting,-1
2020-10-09T15:00:00,2969,1,iOS Device,Very Distracting,-1
2020-10-09T16:00:00,3499,1,iOS Device,Very Distracting,-1
2020-10-09T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-09T18:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-09T19:00:00,2882,1,iOS Device,Very Distracting,-1
2020-10-09T20:00:00,1656,1,iOS Device,Very Distracting,-1
2020-10-10T12:00:00,1100,1,iOS Device,Very Distracting,-1
2020-10-10T13:00:00,505,1,iOS Device,Very Distracting,-1
2020-10-10T17:00:00,568,1,iOS Device,Very Distracting,-1
2020-10-10T18:00:00,2883,1,iOS Device,Very Distracting,-1
2020-10-10T19:00:00,3579,1,iOS Device,Very Distracting,-1
2020-10-10T20:00:00,3597,1,iOS Device,Very Distracting,-1
2020-10-10T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-10T22:00:00,3269,1,iOS Device,Very Distracting,-1
2020-10-10T23:00:00,3063,1,iOS Device,Very Distracting,-1
2020-10-11T00:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-11T01:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-11T02:00:00,2490,1,iOS Device,Very Distracting,-1
2020-10-11T11:00:00,1830,1,iOS Device,Very Distracting,-1
2020-10-11T12:00:00,2580,1,iOS Device,Very Distracting,-1
2020-10-11T13:00:00,2331,1,iOS Device,Very Distracting,-1
2020-10-11T16:00:00,2017,1,iOS Device,Very Distracting,-1
2020-10-11T17:00:00,2687,1,iOS Device,Very Distracting,-1
2020-10-11T18:00:00,3587,1,iOS Device,Very Distracting,-1
2020-10-11T19:00:00,3591,1,iOS Device,Very Distracting,-1
2020-10-11T20:00:00,1869,1,iOS Device,Very Distracting,-1
2020-10-11T21:00:00,2909,1,iOS Device,Very Distracting,-1
2020-10-11T22:00:00,471,1,iOS Device,Very Distracting,-1
2020-10-11T23:00:00,3591,1,iOS Device,Very Distracting,-1
2020-10-12T00:00:00,3504,1,iOS Device,Very Distracting,-1
2020-10-12T01:00:00,3099,1,iOS Device,Very Distracting,-1
2020-10-12T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-12T03:00:00,949,1,iOS Device,Very Distracting,-1
2020-10-12T11:00:00,2343,1,iOS Device,Very Distracting,-1
2020-10-12T12:00:00,1155,1,iOS Device,Very Distracting,-1
2020-10-12T13:00:00,1580,1,iOS Device,Very Distracting,-1
2020-10-12T14:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-12T15:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-12T16:00:00,3579,1,iOS Device,Very Distracting,-1
2020-10-12T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-12T18:00:00,2414,1,iOS Device,Very Distracting,-1
2020-10-12T19:00:00,3458,1,iOS Device,Very Distracting,-1
2020-10-12T20:00:00,2393,1,iOS Device,Very Distracting,-1
2020-10-12T21:00:00,3592,1,iOS Device,Very Distracting,-1
2020-10-12T22:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-12T23:00:00,747,1,iOS Device,Very Distracting,-1
2020-10-13T00:00:00,206,1,iOS Device,Very Distracting,-1
2020-10-13T01:00:00,1,1,iOS Device,Very Distracting,-1
2020-10-13T09:00:00,992,1,iOS Device,Very Distracting,-1
2020-10-13T10:00:00,107,1,iOS Device,Very Distracting,-1
2020-10-13T11:00:00,1706,1,iOS Device,Very Distracting,-1
2020-10-13T12:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-13T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-13T14:00:00,3476,1,iOS Device,Very Distracting,-1
2020-10-13T15:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-13T16:00:00,3599,1,iOS Device,Very Distracting,-1
2020-10-13T17:00:00,3011,1,iOS Device,Very Distracting,-1
2020-10-13T18:00:00,1368,1,iOS Device,Very Distracting,-1
2020-10-13T19:00:00,1592,1,iOS Device,Very Distracting,-1
2020-10-13T20:00:00,641,1,iOS Device,Very Distracting,-1
2020-10-13T21:00:00,2433,1,iOS Device,Very Distracting,-1
2020-10-13T22:00:00,2288,1,iOS Device,Very Distracting,-1
2020-10-14T12:00:00,70,1,iOS Device,Very Distracting,-1
2020-10-14T13:00:00,3399,1,iOS Device,Very Distracting,-1
2020-10-14T14:00:00,456,1,iOS Device,Very Distracting,-1
2020-10-14T15:00:00,3593,1,iOS Device,Very Distracting,-1
2020-10-14T16:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-14T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-14T18:00:00,3507,1,iOS Device,Very Distracting,-1
2020-10-14T19:00:00,2655,1,iOS Device,Very Distracting,-1
2020-10-14T20:00:00,924,1,iOS Device,Very Distracting,-1
2020-10-15T13:00:00,2769,1,iOS Device,Very Distracting,-1
2020-10-15T14:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-15T15:00:00,3170,1,iOS Device,Very Distracting,-1
2020-10-15T16:00:00,3141,1,iOS Device,Very Distracting,-1
2020-10-15T17:00:00,3573,1,iOS Device,Very Distracting,-1
2020-10-15T18:00:00,2176,1,iOS Device,Very Distracting,-1
2020-10-15T20:00:00,6,1,iOS Device,Very Distracting,-1
2020-10-15T21:00:00,1906,1,iOS Device,Very Distracting,-1
2020-10-15T22:00:00,3565,1,iOS Device,Very Distracting,-1
2020-10-15T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-16T00:00:00,2099,1,iOS Device,Very Distracting,-1
2020-10-16T04:00:00,1,1,iOS Device,Very Distracting,-1
2020-10-16T10:00:00,462,1,iOS Device,Very Distracting,-1
2020-10-16T11:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-16T12:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-16T13:00:00,2617,1,iOS Device,Very Distracting,-1
2020-10-16T14:00:00,2977,1,iOS Device,Very Distracting,-1
2020-10-16T15:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-16T16:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-16T17:00:00,1511,1,iOS Device,Very Distracting,-1
2020-10-16T18:00:00,3042,1,iOS Device,Very Distracting,-1
2020-10-16T19:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-16T20:00:00,3440,1,iOS Device,Very Distracting,-1
2020-10-16T21:00:00,3539,1,iOS Device,Very Distracting,-1
2020-10-16T22:00:00,3340,1,iOS Device,Very Distracting,-1
2020-10-16T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-17T00:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-17T01:00:00,2733,1,iOS Device,Very Distracting,-1
2020-10-17T09:00:00,1350,1,iOS Device,Very Distracting,-1
2020-10-17T10:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-17T11:00:00,3488,1,iOS Device,Very Distracting,-1
2020-10-17T12:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-17T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-17T14:00:00,3576,1,iOS Device,Very Distracting,-1
2020-10-17T15:00:00,729,1,iOS Device,Very Distracting,-1
2020-10-17T16:00:00,2661,1,iOS Device,Very Distracting,-1
2020-10-17T17:00:00,3265,1,iOS Device,Very Distracting,-1
2020-10-17T18:00:00,3395,1,iOS Device,Very Distracting,-1
2020-10-17T19:00:00,6857,1,iOS Device,Very Distracting,-1
2020-10-17T20:00:00,2283,1,iOS Device,Very Distracting,-1
2020-10-17T21:00:00,1711,1,iOS Device,Very Distracting,-1
2020-10-17T22:00:00,236,1,iOS Device,Very Distracting,-1
2020-10-17T23:00:00,521,1,iOS Device,Very Distracting,-1
2020-10-18T00:00:00,3359,1,iOS Device,Very Distracting,-1
2020-10-18T01:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-18T02:00:00,2018,1,iOS Device,Very Distracting,-1
2020-10-18T16:00:00,34,1,iOS Device,Very Distracting,-1
2020-10-18T17:00:00,936,1,iOS Device,Very Distracting,-1
2020-10-18T18:00:00,3225,1,iOS Device,Very Distracting,-1
2020-10-18T19:00:00,3148,1,iOS Device,Very Distracting,-1
2020-10-18T20:00:00,1981,1,iOS Device,Very Distracting,-1
2020-10-18T21:00:00,1758,1,iOS Device,Very Distracting,-1
2020-10-19T09:00:00,833,1,iOS Device,Very Distracting,-1
2020-10-19T10:00:00,3565,1,iOS Device,Very Distracting,-1
2020-10-19T11:00:00,3569,1,iOS Device,Very Distracting,-1
2020-10-19T12:00:00,535,1,iOS Device,Very Distracting,-1
2020-10-19T13:00:00,2821,1,iOS Device,Very Distracting,-1
2020-10-19T14:00:00,3242,1,iOS Device,Very Distracting,-1
2020-10-19T15:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-19T16:00:00,3544,1,iOS Device,Very Distracting,-1
2020-10-19T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-19T18:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-19T19:00:00,3068,1,iOS Device,Very Distracting,-1
2020-10-19T20:00:00,3558,1,iOS Device,Very Distracting,-1
2020-10-19T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-19T22:00:00,355,1,iOS Device,Very Distracting,-1
2020-10-20T02:00:00,302,1,iOS Device,Very Distracting,-1
2020-10-20T03:00:00,224,1,iOS Device,Very Distracting,-1
2020-10-20T04:00:00,2948,1,iOS Device,Very Distracting,-1
2020-10-20T11:00:00,1215,1,iOS Device,Very Distracting,-1
2020-10-20T12:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-20T13:00:00,2851,1,iOS Device,Very Distracting,-1
2020-10-20T14:00:00,2392,1,iOS Device,Very Distracting,-1
2020-10-20T20:00:00,1599,1,iOS Device,Very Distracting,-1
2020-10-20T21:00:00,3580,1,iOS Device,Very Distracting,-1
2020-10-20T22:00:00,3586,1,iOS Device,Very Distracting,-1
2020-10-20T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-21T00:00:00,238,1,iOS Device,Very Distracting,-1
2020-10-21T09:00:00,121,1,iOS Device,Very Distracting,-1
2020-10-21T10:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-21T11:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-21T12:00:00,3439,1,iOS Device,Very Distracting,-1
2020-10-21T13:00:00,1002,1,iOS Device,Very Distracting,-1
2020-10-21T14:00:00,65,1,iOS Device,Very Distracting,-1
2020-10-21T15:00:00,407,1,iOS Device,Very Distracting,-1
2020-10-21T16:00:00,154,1,iOS Device,Very Distracting,-1
2020-10-21T17:00:00,1955,1,iOS Device,Very Distracting,-1
2020-10-21T18:00:00,928,1,iOS Device,Very Distracting,-1
2020-10-21T19:00:00,2492,1,iOS Device,Very Distracting,-1
2020-10-21T20:00:00,3599,1,iOS Device,Very Distracting,-1
2020-10-21T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-21T22:00:00,3576,1,iOS Device,Very Distracting,-1
2020-10-21T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-22T00:00:00,3526,1,iOS Device,Very Distracting,-1
2020-10-22T01:00:00,2561,1,iOS Device,Very Distracting,-1
2020-10-22T02:00:00,245,1,iOS Device,Very Distracting,-1
2020-10-22T09:00:00,884,1,iOS Device,Very Distracting,-1
2020-10-22T10:00:00,67,1,iOS Device,Very Distracting,-1
2020-10-22T11:00:00,1835,1,iOS Device,Very Distracting,-1
2020-10-22T12:00:00,957,1,iOS Device,Very Distracting,-1
2020-10-22T13:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-22T14:00:00,3575,1,iOS Device,Very Distracting,-1
2020-10-22T15:00:00,1664,1,iOS Device,Very Distracting,-1
2020-10-22T16:00:00,13,1,iOS Device,Very Distracting,-1
2020-10-22T17:00:00,1595,1,iOS Device,Very Distracting,-1
2020-10-22T18:00:00,55,1,iOS Device,Very Distracting,-1
2020-10-22T19:00:00,3379,1,iOS Device,Very Distracting,-1
2020-10-22T20:00:00,1736,1,iOS Device,Very Distracting,-1
2020-10-22T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-22T22:00:00,1761,1,iOS Device,Very Distracting,-1
2020-10-22T23:00:00,1218,1,iOS Device,Very Distracting,-1
2020-10-23T00:00:00,3312,1,iOS Device,Very Distracting,-1
2020-10-23T01:00:00,3578,1,iOS Device,Very Distracting,-1
2020-10-23T02:00:00,377,1,iOS Device,Very Distracting,-1
2020-10-23T10:00:00,798,1,iOS Device,Very Distracting,-1
2020-10-23T11:00:00,3078,1,iOS Device,Very Distracting,-1
2020-10-23T12:00:00,3390,1,iOS Device,Very Distracting,-1
2020-10-23T13:00:00,3361,1,iOS Device,Very Distracting,-1
2020-10-23T14:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-23T15:00:00,3545,1,iOS Device,Very Distracting,-1
2020-10-23T16:00:00,3559,1,iOS Device,Very Distracting,-1
2020-10-23T17:00:00,2519,1,iOS Device,Very Distracting,-1
2020-10-23T18:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-23T19:00:00,2262,1,iOS Device,Very Distracting,-1
2020-10-23T20:00:00,3579,1,iOS Device,Very Distracting,-1
2020-10-23T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-23T22:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-23T23:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-24T00:00:00,2801,1,iOS Device,Very Distracting,-1
2020-10-24T07:00:00,7,1,iOS Device,Very Distracting,-1
2020-10-24T13:00:00,2139,1,iOS Device,Very Distracting,-1
2020-10-24T14:00:00,884,1,iOS Device,Very Distracting,-1
2020-10-24T15:00:00,3240,1,iOS Device,Very Distracting,-1
2020-10-24T16:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-24T17:00:00,3487,1,iOS Device,Very Distracting,-1
2020-10-24T18:00:00,1223,1,iOS Device,Very Distracting,-1
2020-10-24T19:00:00,1006,1,iOS Device,Very Distracting,-1
2020-10-24T20:00:00,3116,1,iOS Device,Very Distracting,-1
2020-10-24T21:00:00,758,1,iOS Device,Very Distracting,-1
2020-10-25T12:00:00,849,1,iOS Device,Very Distracting,-1
2020-10-25T13:00:00,2062,1,iOS Device,Very Distracting,-1
2020-10-25T14:00:00,2144,1,iOS Device,Very Distracting,-1
2020-10-25T15:00:00,1380,1,iOS Device,Very Distracting,-1
2020-10-25T16:00:00,659,1,iOS Device,Very Distracting,-1
2020-10-25T17:00:00,1412,1,iOS Device,Very Distracting,-1
2020-10-25T18:00:00,1003,1,iOS Device,Very Distracting,-1
2020-10-25T19:00:00,1379,1,iOS Device,Very Distracting,-1
2020-10-26T01:00:00,166,1,iOS Device,Very Distracting,-1
2020-10-26T09:00:00,2459,1,iOS Device,Very Distracting,-1
2020-10-26T10:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-26T11:00:00,3469,1,iOS Device,Very Distracting,-1
2020-10-26T12:00:00,2869,1,iOS Device,Very Distracting,-1
2020-10-26T13:00:00,2022,1,iOS Device,Very Distracting,-1
2020-10-26T14:00:00,3311,1,iOS Device,Very Distracting,-1
2020-10-26T15:00:00,329,1,iOS Device,Very Distracting,-1
2020-10-26T16:00:00,1790,1,iOS Device,Very Distracting,-1
2020-10-26T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-26T18:00:00,3589,1,iOS Device,Very Distracting,-1
2020-10-26T19:00:00,2597,1,iOS Device,Very Distracting,-1
2020-10-26T20:00:00,3376,1,iOS Device,Very Distracting,-1
2020-10-26T21:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-26T22:00:00,3013,1,iOS Device,Very Distracting,-1
2020-10-26T23:00:00,159,1,iOS Device,Very Distracting,-1
2020-10-27T00:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-27T01:00:00,689,1,iOS Device,Very Distracting,-1
2020-10-27T12:00:00,332,1,iOS Device,Very Distracting,-1
2020-10-27T13:00:00,2539,1,iOS Device,Very Distracting,-1
2020-10-27T14:00:00,2679,1,iOS Device,Very Distracting,-1
2020-10-27T15:00:00,583,1,iOS Device,Very Distracting,-1
2020-10-27T16:00:00,1325,1,iOS Device,Very Distracting,-1
2020-10-27T17:00:00,2699,1,iOS Device,Very Distracting,-1
2020-10-27T18:00:00,1921,1,iOS Device,Very Distracting,-1
2020-10-27T19:00:00,1141,1,iOS Device,Very Distracting,-1
2020-10-27T20:00:00,3354,1,iOS Device,Very Distracting,-1
2020-10-27T21:00:00,3218,1,iOS Device,Very Distracting,-1
2020-10-27T22:00:00,3516,1,iOS Device,Very Distracting,-1
2020-10-27T23:00:00,572,1,iOS Device,Very Distracting,-1
2020-10-28T09:00:00,71,1,iOS Device,Very Distracting,-1
2020-10-28T10:00:00,3597,1,iOS Device,Very Distracting,-1
2020-10-28T11:00:00,2802,1,iOS Device,Very Distracting,-1
2020-10-28T12:00:00,2061,1,iOS Device,Very Distracting,-1
2020-10-28T13:00:00,650,1,iOS Device,Very Distracting,-1
2020-10-28T14:00:00,72,1,iOS Device,Very Distracting,-1
2020-10-28T15:00:00,1841,1,iOS Device,Very Distracting,-1
2020-10-28T16:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-28T17:00:00,3531,1,iOS Device,Very Distracting,-1
2020-10-28T18:00:00,3588,1,iOS Device,Very Distracting,-1
2020-10-28T19:00:00,573,1,iOS Device,Very Distracting,-1
2020-10-28T20:00:00,450,1,iOS Device,Very Distracting,-1
2020-10-28T21:00:00,81,1,iOS Device,Very Distracting,-1
2020-10-29T00:00:00,1436,1,iOS Device,Very Distracting,-1
2020-10-29T01:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-29T02:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-29T03:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-29T04:00:00,2036,1,iOS Device,Very Distracting,-1
2020-10-29T12:00:00,1,1,iOS Device,Very Distracting,-1
2020-10-29T13:00:00,26,1,iOS Device,Very Distracting,-1
2020-10-29T14:00:00,17,1,iOS Device,Very Distracting,-1
2020-10-29T15:00:00,1257,1,iOS Device,Very Distracting,-1
2020-10-29T16:00:00,2878,1,iOS Device,Very Distracting,-1
2020-10-29T17:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-29T18:00:00,3559,1,iOS Device,Very Distracting,-1
2020-10-29T19:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-29T20:00:00,3512,1,iOS Device,Very Distracting,-1
2020-10-29T21:00:00,913,1,iOS Device,Very Distracting,-1
2020-10-29T22:00:00,1504,1,iOS Device,Very Distracting,-1
2020-10-30T09:00:00,3359,1,iOS Device,Very Distracting,-1
2020-10-30T10:00:00,3600,1,iOS Device,Very Distracting,-1
2020-10-30T11:00:00,447,1,iOS Device,Very Distracting,-1
2020-10-30T16:00:00,564,1,iOS Device,Very Distracting,-1
2020-10-30T17:00:00,431,1,iOS Device,Very Distracting,-1
2020-10-30T19:00:00,1669,1,iOS Device,Very Distracting,-1
2020-10-30T20:00:00,3600,1,iOS Device,Very Distracting,-1
